,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,
CODIGO ACT.,ACTIVIDAD,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,PROM,PROM_ATIP,R2,REGR DIA,PROM DIA,MIN DIA,MAX DIA,CV,SUAV_EXP,MOD,%,% ACUM,ABC,GRAFICA
M021701,METRONIDAZOL 500MG/100ML SOL. INYECTABLE,166,218,155,198,78,205,323,258,252,262,259,151,211,0,"0,13",9,8,8,11,"0,2999",7,SUAV,"0,1%","87,6%",B,
E002011,ENALAPRIL 5MG TABLETA ,151,170,347,291,204,198,313,133,131,128,228,166,205,0,"0,09",6,7,7,12,"0,3508",7,SUAV,"0,1%","87,7%",B,
709134,LEVETIRACETAM TABLETA 500MG,345,194,131,258,104,167,98,54,108,237,313,359,198,0,"0,02",8,7,7,12,"0,5030",7,SUAV,"0,1%","87,8%",B,
702435,NARIZ DE CAMELLO ADULTO,164,141,151,176,168,229,253,221,197,136,219,299,197,0,"0,37",9,7,7,10,"0,2406",7,SUAV,"0,1%","87,9%",B,
134746,LEVETIRACETAM SOL. INYECTABLE 500MG/5ML,156,58,270,306,457,185,41,126,312,109,99,241,197,0,"0,01",6,7,7,16,"0,6003",7,SUAV,"0,1%","88,1%",B,
C0000035,CLOPIDOGREL TABLETA 75MG,175,246,254,216,164,208,216,137,155,229,160,201,197,0,"0,12",6,7,5,9,"0,1844",7,SUAV,"0,1%","88,2%",B,
702212,JELCO 24G X 3/4,211,215,216,219,176,132,213,181,212,176,207,199,197,0,"0,04",7,7,5,8,"0,1253",7,PROM,"0,1%","88,3%",B,
700628,CLARITROMICINA 500MG POLVO LIOFILIZADO ,240,107,88,121,130,227,268,119,124,132,330,460,196,0,"0,28",11,7,7,16,"0,5521",7,SUAV,"0,1%","88,4%",B,
714955,CLOZAPINA TABLETA 25 MG,125,224,175,144,56,192,192,264,185,314,243,184,192,0,"0,24",9,7,7,11,"0,3341",7,SUAV,"0,1%","88,5%",B,
707596,ONDANSETRON SOL. INYECTABLE 4MG/2ML,187,46,94,392,594,273,138,338,80,3,74,78,192,0,"0,09",4,7,7,20,"0,8748",7,SUAV,"0,1%","88,6%",B,
707258,TRANSDUCTOR PLASTICO,156,161,161,166,195,215,221,176,196,166,219,251,191,0,"0,49",8,7,6,9,"0,1541",7,SUAV,"0,1%","88,8%",B,
D009701,DEXTROSA AL 5% AGUA DESTILADA 500 ML,145,178,256,120,181,176,212,159,215,137,284,229,191,0,"0,15",8,7,7,10,"0,2480",7,SUAV,"0,1%","88,9%",B,
100317,"LACTULOSA SOLUCIÓN ORAL 66,7%/15ML",75,298,251,179,336,82,220,79,232,182,197,133,189,0,"0,03",6,7,7,12,"0,4321",7,SUAV,"0,1%","89,0%",B,
703754,MORFINA 10MG/1ML SOL. INYECTABLE,92,173,142,437,207,113,179,173,201,255,160,129,189,0,"0,00",7,7,7,15,"0,4551",7,SUAV,"0,1%","89,1%",B,
A009701,ALBUMINA HUMANA SOL. INYECTABLE 20% x 50 ML ,168,151,254,387,113,252,294,73,116,166,77,156,184,0,"0,14",4,7,7,13,"0,4929",7,SUAV,"0,1%","89,2%",B,
730035,FRESUBIN DRINK SOLUCIÓN ORAL 2KCAL/1ML (400KCAL/200ML) ALIMENTO LÍQUIDO NUTRICIO,170,134,290,158,117,163,160,144,89,209,241,277,180,0,"0,07",7,6,6,10,"0,3326",7,SUAV,"0,1%","89,3%",B,
703782,HIDROMORFONA 2MG/1ML SOL. INYECTABLE,161,145,132,188,437,174,182,18,55,192,233,212,178,0,"0,00",6,6,6,15,"0,5519",7,SUAV,"0,1%","89,4%",B,
708833,QUETIAPINA TABLETA 25MG,35,60,87,85,165,279,106,130,356,49,421,323,175,0,"0,46",12,6,6,15,"0,7329",6,SUAV,"0,1%","89,5%",B,
V015721,VECURONIO BROMURO POLVO LIOFILIZADO 10MG,144,28,30,149,111,117,391,120,270,106,203,413,174,0,"0,36",11,6,6,14,"0,6893",6,SUAV,"0,1%","89,6%",B,
700893,FENITOINA 250MG/5ML SOL. INYECTABLE ,154,171,118,146,176,188,204,228,132,217,95,235,172,0,"0,08",7,6,6,8,"0,2482",6,SUAV,"0,1%","89,7%",B,
700010,NIFEDIPINO CÁPSULA 10MG,96,116,143,33,139,182,348,231,206,59,204,289,171,0,"0,25",9,6,6,12,"0,5157",6,SUAV,"0,1%","89,8%",B,
E002012,ENALAPRIL 20MG TABLETA ,191,189,192,139,243,92,170,161,162,124,212,177,171,0,"0,02",6,6,6,9,"0,2247",6,SUAV,"0,1%","89,9%",B,
