fecha,producto_id,demanda,categoria_abc,variabilidad,prediccion_media_movil,prediccion_regresion_lineal,prediccion_xgboost,metodo_usado,prediccion_final,error_final
2022-06-01,19973360,34,C,Baja,33.666666666666664,19.38869503515992,41.15193,Media móvil,33.666666666666664,-0.3333333333333357
2022-04-01,200061,5,C,Alta,0.0,0.0,0.5360646,Regresión Lineal,0.0,-5.0
2022-05-01,200061,0,C,Alta,1.6666666666666667,0.0,0.68546927,Regresión Lineal,0.0,0.0
2022-06-01,200061,0,C,Alta,1.6666666666666667,0.0,0.60402834,Regresión Lineal,0.0,0.0
2022-04-01,200072,0,C,Alta,0.6666666666666666,0.0,0.15100676,XGBoost,0.1510067582130432,0.1510067582130432
2022-05-01,200072,0,C,Alta,0.6666666666666666,0.0,0.034574784,XGBoost,0.034574784338474274,0.034574784338474274
2022-06-01,200072,0,C,Alta,0.6666666666666666,0.5527705421012299,0.05887388,XGBoost,0.05887388065457344,0.05887388065457344
2022-04-01,2001990802,0,C,Alta,3.3333333333333335,10.434485084378004,2.6561186,Media móvil,3.3333333333333335,3.3333333333333335
2022-05-01,2001990802,0,C,Alta,0.0,0.0,2.2608526,Media móvil,0.0,0.0
2022-06-01,2001990802,0,C,Alta,0.0,0.0,2.7509234,Media móvil,0.0,0.0
2022-04-01,20039341,3,C,Alta,0.6666666666666666,0.5527705421012299,0.32891014,Regresión Lineal,0.5527705421012299,-2.44722945789877
2022-05-01,20039341,0,C,Alta,1.0,0.0,0.29426667,Regresión Lineal,0.0,0.0
2022-06-01,20039341,0,C,Alta,1.0,0.0,0.5475993,Regresión Lineal,0.0,0.0
2022-04-01,6421,2,C,Alta,0.0,0.0,0.40017003,Regresión Lineal,0.0,-2.0
2022-05-01,6421,0,C,Alta,0.6666666666666666,0.0,0.2888112,Regresión Lineal,0.0,0.0
2022-06-01,6421,0,C,Alta,0.6666666666666666,0.0,0.16527098,Regresión Lineal,0.0,0.0
2022-04-01,700010,59,B,Media,261.6666666666667,374.3673306977897,131.24263,XGBoost,131.2426300048828,72.24263000488281
2022-05-01,700010,204,B,Media,165.33333333333334,260.85987904977924,113.864746,XGBoost,113.86474609375,-90.13525390625
2022-06-01,700010,289,B,Media,156.33333333333334,230.6438850486637,170.1603,XGBoost,170.16029357910156,-118.83970642089844
2022-04-01,700021,27,C,Media,28.0,26.631334735880465,52.19821,Media móvil,28.0,1.0
2022-05-01,700021,19,C,Media,32.0,13.069917637954992,36.10293,Media móvil,32.0,13.0
2022-06-01,700021,5,C,Media,37.333333333333336,69.70314669611047,12.264241,Media móvil,37.333333333333336,32.333333333333336
2022-04-01,700067,38,C,Baja,51.333333333333336,50.50778476678369,61.932858,XGBoost,61.932857513427734,23.932857513427734
2022-05-01,700067,76,C,Baja,45.333333333333336,44.256371313272034,70.39822,XGBoost,70.3982162475586,-5.601783752441406
2022-06-01,700067,104,C,Baja,55.333333333333336,56.1287265736585,71.89771,XGBoost,71.89771270751953,-32.10228729248047
2022-04-01,700131,7,C,Alta,3.0,0.18088980153855605,2.4175446,XGBoost,2.4175446033477783,-4.582455396652222
2022-05-01,700131,0,C,Alta,5.0,0.8891149080559377,0.8227265,XGBoost,0.8227264881134033,0.8227264881134033
2022-06-01,700131,2,C,Alta,4.333333333333333,5.627960046873801,1.3849084,XGBoost,1.3849084377288818,-0.6150915622711182
2022-04-01,700142,43,C,Baja,54.333333333333336,62.90591472555457,38.52801,XGBoost,38.528011322021484,-4.471988677978516
2022-05-01,700142,29,C,Baja,48.666666666666664,73.50197785875343,47.422718,XGBoost,47.4227180480957,18.422718048095703
