fecha,producto_id,demanda,categoria_abc,variabilidad,usar_ml,prediccion_xgboost,prediccion_baseline_3m,prediccion_final,metodo_usado,error_final
2023-11-01,1033,66.0,A,Media,True,28.553955,48.0,28.553955078125,XGBoost,-37.446044921875
2023-12-01,1033,0.0,A,Media,True,0.0,42.333333333333336,0.0,XGBoost,0.0
2023-10-01,1034,34.0,A,Alta,True,24.146563,0.0,24.146562576293945,XGBoost,-9.853437423706055
2023-11-01,1034,0.0,A,Alta,True,0.167599,11.333333333333334,0.16759899258613586,XGBoost,0.16759899258613586
2023-12-01,1034,0.0,A,Alta,True,0.0151366815,11.333333333333334,0.015136681497097015,XGBoost,0.015136681497097015
2023-10-01,1035,1.0,A,Alta,True,33.710438,11.666666666666666,33.7104377746582,XGBoost,32.7104377746582
2023-11-01,1035,0.0,A,Alta,True,0.14990342,12.0,0.14990341663360596,XGBoost,0.14990341663360596
2023-12-01,1035,0.0,A,Alta,True,0.032794204,0.3333333333333333,0.032794203609228134,XGBoost,0.032794203609228134
2023-10-01,1036,49.0,A,Media,True,31.838745,30.333333333333332,31.8387451171875,XGBoost,-17.1612548828125
2023-11-01,1036,51.0,A,Media,True,19.218021,41.0,19.218021392822266,XGBoost,-31.781978607177734
2023-12-01,1036,7.0,A,Media,True,22.974596,49.666666666666664,22.97459602355957,XGBoost,15.97459602355957
2023-10-01,1037,0.0,B,Alta,True,0.14162321,7.333333333333333,0.14162321388721466,XGBoost,0.14162321388721466
2023-11-01,1037,0.0,B,Alta,True,0.1747613,7.333333333333333,0.17476129531860352,XGBoost,0.17476129531860352
2023-12-01,1037,32.0,B,Alta,True,35.622253,7.333333333333333,35.62225341796875,XGBoost,3.62225341796875
2023-10-01,1038,31.0,B,Alta,True,27.489489,14.333333333333334,27.48948860168457,XGBoost,-3.5105113983154297
2023-11-01,1038,1.0,B,Alta,True,25.833252,24.666666666666668,25.833251953125,XGBoost,24.833251953125
2023-12-01,1038,0.0,B,Alta,True,0.014298286,10.666666666666666,0.01429828628897667,XGBoost,0.01429828628897667
2023-10-01,1039,0.0,A,Media,True,0.0,47.666666666666664,0.0,XGBoost,0.0
2023-11-01,1039,0.0,A,Media,True,0.0,33.666666666666664,0.0,XGBoost,0.0
2023-12-01,1039,0.0,A,Media,True,0.013207128,21.666666666666668,0.013207128271460533,XGBoost,0.013207128271460533
2023-10-01,1040,0.0,B,Alta,True,0.20847146,0.0,0.20847146213054657,XGBoost,0.20847146213054657
2023-11-01,1040,47.0,B,Alta,True,32.54745,0.0,32.54745101928711,XGBoost,-14.45254898071289
2023-12-01,1040,0.0,B,Alta,True,0.0,15.666666666666666,0.0,XGBoost,0.0
2023-10-01,1041,0.0,B,Alta,True,0.04818317,10.333333333333334,0.04818316921591759,XGBoost,0.04818316921591759
2023-11-01,1041,40.0,B,Alta,True,29.22702,10.333333333333334,29.227020263671875,XGBoost,-10.772979736328125
2023-12-01,1041,0.0,B,Alta,True,0.07471783,13.333333333333334,0.07471782714128494,XGBoost,0.07471782714128494
2023-10-01,1042,0.0,A,Alta,True,0.0,25.333333333333332,0.0,XGBoost,0.0
2023-11-01,1042,0.0,A,Alta,True,0.0,9.0,0.0,XGBoost,0.0
2023-12-01,1042,0.0,A,Alta,True,0.0,0.0,0.0,XGBoost,0.0
2023-10-01,1043,22.0,C,Alta,True,16.249413,7.333333333333333,16.249412536621094,XGBoost,-5.750587463378906
2023-11-01,1043,3.0,C,Alta,True,22.14364,14.666666666666666,22.143640518188477,XGBoost,19.143640518188477
2023-12-01,1043,18.0,C,Alta,True,15.718134,8.333333333333334,15.718133926391602,XGBoost,-2.2818660736083984
2023-10-01,1044,11.0,B,Alta,True,35.320858,21.666666666666668,35.320858001708984,XGBoost,24.320858001708984
2023-11-01,1044,6.0,B,Alta,True,26.083998,9.666666666666666,26.08399772644043,XGBoost,20.08399772644043
2023-12-01,1044,0.0,B,Alta,True,0.0832757,5.666666666666667,0.0832756981253624,XGBoost,0.0832756981253624
2023-10-01,1045,0.0,A,Alta,True,0.19056983,0.0,0.19056983292102814,XGBoost,0.19056983292102814
2023-11-01,1045,2.0,A,Alta,True,26.687342,0.0,26.687341690063477,XGBoost,24.687341690063477
2023-12-01,1045,64.0,A,Alta,True,62.363358,0.6666666666666666,62.36335754394531,XGBoost,-1.6366424560546875
2023-10-01,1046,0.0,B,Alta,True,0.060822967,30.666666666666668,0.06082296743988991,XGBoost,0.06082296743988991
2023-11-01,1046,0.0,B,Alta,True,0.08720655,25.0,0.08720654994249344,XGBoost,0.08720654994249344
2023-12-01,1046,0.0,B,Alta,True,0.08414747,23.666666666666668,0.08414746820926666,XGBoost,0.08414746820926666
2023-10-01,1047,0.0,A,Alta,True,0.1859525,74.33333333333333,0.18595249950885773,XGBoost,0.18595249950885773
2023-11-01,1047,0.0,A,Alta,True,0.1448445,51.0,0.14484450221061707,XGBoost,0.14484450221061707
2023-12-01,1047,43.0,A,Alta,True,89.87057,10.666666666666666,89.87056732177734,XGBoost,46.870567321777344
2023-10-01,1048,48.0,A,Alta,True,25.10682,3.3333333333333335,25.10681915283203,XGBoost,-22.89318084716797
2023-11-01,1048,0.0,A,Alta,True,0.0,17.333333333333332,0.0,XGBoost,0.0
2023-12-01,1048,0.0,A,Alta,True,0.0,17.333333333333332,0.0,XGBoost,0.0
2023-10-01,1049,68.0,A,Alta,True,35.079533,14.666666666666666,35.079532623291016,XGBoost,-32.920467376708984
2023-11-01,1049,0.0,A,Alta,True,0.02681784,37.333333333333336,0.026817839592695236,XGBoost,0.026817839592695236
2023-12-01,1049,38.0,A,Alta,True,25.227295,37.333333333333336,25.227294921875,XGBoost,-12.772705078125
2023-10-01,1050,0.0,A,Alta,True,0.0,20.0,0.0,XGBoost,0.0
2023-11-01,1050,28.0,A,Alta,True,38.30477,5.666666666666667,38.304771423339844,XGBoost,10.304771423339844
2023-12-01,1050,0.0,A,Alta,True,0.04187007,9.333333333333334,0.04187006875872612,XGBoost,0.04187006875872612
2023-10-01,1051,46.0,A,Alta,True,20.87033,0.0,20.870330810546875,XGBoost,-25.129669189453125
2023-11-01,1051,62.0,A,Alta,True,32.31618,15.333333333333334,32.31618118286133,XGBoost,-29.683818817138672
2023-12-01,1051,8.0,A,Alta,True,25.303812,36.0,25.30381202697754,XGBoost,17.30381202697754
2023-10-01,1052,87.0,A,Alta,True,31.498348,30.0,31.498348236083984,XGBoost,-55.501651763916016
2023-11-01,1052,18.0,A,Alta,True,48.780235,29.0,48.780235290527344,XGBoost,30.780235290527344
2023-12-01,1052,20.0,A,Alta,True,29.625254,35.0,29.625253677368164,XGBoost,9.625253677368164
2023-10-01,1053,78.0,A,Alta,True,34.417175,3.6666666666666665,34.41717529296875,XGBoost,-43.58282470703125
2023-11-01,1053,0.0,A,Alta,True,0.167052,26.0,0.1670520007610321,XGBoost,0.1670520007610321
2023-12-01,1053,91.0,A,Alta,True,37.549034,26.0,37.549034118652344,XGBoost,-53.450965881347656
2023-10-01,1054,64.0,A,Media,True,27.730145,27.666666666666668,27.730144500732422,XGBoost,-36.26985549926758
2023-11-01,1054,0.0,A,Media,True,0.29152292,26.666666666666668,0.29152292013168335,XGBoost,0.29152292013168335
2023-12-01,1054,0.0,A,Media,True,0.34480312,26.666666666666668,0.344803124666214,XGBoost,0.344803124666214
2023-10-01,1055,46.0,B,Alta,True,23.047758,23.666666666666668,23.047758102416992,XGBoost,-22.952241897583008
2023-11-01,1055,0.0,B,Alta,True,0.06515889,19.333333333333332,0.0651588886976242,XGBoost,0.0651588886976242
2023-12-01,1055,8.0,B,Alta,True,20.275581,19.333333333333332,20.27558135986328,XGBoost,12.275581359863281
2023-10-01,1056,0.0,A,Alta,True,0.08682417,11.666666666666666,0.08682417124509811,XGBoost,0.08682417124509811
2023-11-01,1056,0.0,A,Alta,True,0.34774855,0.0,0.3477485477924347,XGBoost,0.3477485477924347
2023-12-01,1056,29.0,A,Alta,True,46.236217,0.0,46.2362174987793,XGBoost,17.236217498779297
